ts,root_cpu,root_rss_kb,tree_cpu,tree_rss_kb,npids
1784452970.979,1.9,459240,1.9,459240,1
1784452971.520,0.0,459232,5.6,459232,1
1784452972.055,5.6,459240,0.0,459240,1
1784452972.591,3.7,459232,3.7,459232,1
1784452973.129,0.0,459240,0.0,459240,1
1784452973.667,3.7,459232,3.7,459232,1
1784452974.204,0.0,459240,0.0,459240,1
1784452974.740,3.7,459232,3.7,459232,1
1784452975.276,0.0,459180,0.0,459180,1
1784452975.813,3.7,459180,3.7,459164,1
1784452976.351,1.9,458748,1.9,458748,1
1784452976.887,3.7,458748,3.7,458748,1
1784452977.425,0.0,458748,0.0,458748,1
1784452977.962,5.6,458748,5.6,458748,1
1784452978.500,0.0,458748,0.0,458748,1
1784452979.037,3.7,458756,3.7,458756,1
1784452979.574,3.7,458756,3.7,458756,1
1784452980.117,5.5,458756,5.5,458756,1
1784452980.654,3.7,458748,3.7,458748,1
1784452981.190,1.9,458720,1.9,458720,1
1784452981.727,3.7,458728,3.7,458728,1
1784452982.263,0.0,458736,0.0,458736,1
1784452982.801,3.7,458732,3.7,458732,1
1784452983.340,74.2,464596,74.2,464596,1
1784452983.878,3.7,461896,3.7,461896,1
1784452984.416,44.6,463696,44.6,463696,1
1784452984.988,36.7,465360,43.7,492216,3
1784452985.574,37.6,465148,88.8,604864,4
1784452986.111,68.8,466488,9.3,466336,1
1784452986.648,11.2,465584,7.5,465584,1
1784452987.185,0.0,465324,0.0,465324,1
1784452987.721,3.7,465316,3.7,465316,1
1784452988.257,33.6,466540,33.6,466540,1
1784452988.794,98.7,464052,98.7,464052,1
1784452989.378,30.8,445304,51.4,480088,4
1784452989.991,22.8,441140,62.0,608236,6
1784452990.605,14.6,439864,185.5,732324,6
1784452991.197,1.7,439844,-97.9,658188,5
1784452991.788,5.1,439848,-67.7,576264,5
1784452992.323,56.0,441612,-16.8,441612,1
1784452992.861,11.2,441460,11.2,441460,1
1784452993.399,0.0,441296,0.0,441296,1
1784452993.936,3.7,441064,3.7,441064,1
1784452994.474,0.0,441076,0.0,441076,1
1784452995.012,26.0,443156,26.0,443156,1
1784452995.549,70.7,446884,70.7,446884,1
1784452996.084,7.5,443980,7.5,443980,1
1784452996.619,5.6,443688,5.6,443688,1
1784452997.156,0.0,443684,0.0,443684,1
1784452997.691,63.5,447336,63.5,447336,1
1784452998.230,7.4,445832,7.4,445840,1
1784452998.767,3.7,445716,3.7,445716,1
1784452999.305,0.0,445720,0.0,445724,1
1784452999.842,55.9,446944,55.9,446944,1
1784453000.379,1.9,446600,1.9,446600,1
1784453000.914,1.9,446588,1.9,446588,1
1784453001.451,0.0,446596,0.0,446596,1
1784453001.987,84.0,451500,84.0,452704,1
1784453002.524,37.2,451960,42.8,452852,1
1784453003.061,89.3,468448,87.4,468448,1
1784453003.600,57.5,455964,53.8,455964,1
1784453004.141,49.9,458472,49.9,458472,1
1784453004.677,11.2,457636,13.1,457632,1
1784453005.213,35.4,459068,33.6,459068,1
1784453005.750,3.7,458532,3.7,458532,1
1784453006.286,80.1,461736,85.7,461728,1
1784453006.823,91.3,464948,91.3,464948,1
1784453007.358,89.7,466396,86.0,467044,1
1784453007.894,59.6,467732,59.6,467728,1
1784453008.432,5.6,467728,3.7,467728,1
1784453008.970,68.8,472700,72.5,472700,1
1784453009.508,13.0,471492,11.2,470908,1
1784453010.046,31.6,470900,29.8,470900,1
1784453010.584,55.8,472424,61.3,472724,1
